"coefficient","inflation","unemployment","tbill_rate"
"Intercept",0.2925,0.3207,-0.0116
"inflation_lag1",1.5088,0.0035,0.5494
"unemployment_lag1",-0.2663,1.273,-0.7207
"tbill_rate_lag1",-0.057,-0.021,0.7741
"inflation_lag2",-0.4684,0.1016,-0.7757
"unemployment_lag2",0.1971,-0.3097,0.7897
"tbill_rate_lag2",0.0626,-0.0229,-0.0289
"inflation_lag3",-0.0772,-0.1885,0.818
"unemployment_lag3",-0.015,-0.1296,-0.3557
"tbill_rate_lag3",-0.0075,0.0966,0.1003
"inflation_lag4",0.0371,0.1151,-0.4848
"unemployment_lag4",0.0374,0.067,0.3114
"tbill_rate_lag4",-0.0012,-0.0256,0.0591
