lags,lambda,frequency
1,0.09,10
1,0.10,66
1,0.13,15
1,0.17,4
1,0.20,2
1,0.25,2
1,0.31,1
2,0.13,47
2,0.17,27
2,0.20,14
2,0.24,1
2,0.25,4
2,0.28,1
2,0.30,3
2,0.31,2
2,0.35,1
3,0.17,23
3,0.20,48
3,0.24,8
3,0.25,7
3,0.28,3
3,0.30,4
3,0.31,3
3,0.35,3
3,0.45,1
4,0.20,7
4,0.24,37
4,0.25,27
4,0.28,17
4,0.30,3
4,0.31,4
4,0.35,2
4,0.40,2
4,0.50,1
5,0.24,9
5,0.25,10
5,0.28,8
5,0.30,28
5,0.31,16
5,0.35,21
5,0.40,2
5,0.50,1
5,0.55,1
5,0.60,1
5,0.65,2
5,0.70,1
6,0.28,1
6,0.30,3
6,0.31,26
6,0.35,46
6,0.40,18
6,0.50,1
6,0.55,2
6,0.60,1
6,0.65,1
6,0.70,1
7,0.31,2
7,0.35,33
7,0.40,31
7,0.45,18
7,0.50,4
7,0.55,2
7,0.60,3
7,0.65,3
7,0.70,1
7,0.80,1
7,0.90,2
8,0.35,1
8,0.40,19
8,0.45,17
8,0.50,28
8,0.55,23
8,0.60,3
8,0.65,6
8,0.70,2
8,0.80,1
