"variable","mnemonic","policy_contribution","r_squared","factor_y_total","measurement_error","total_variance_proxy"
"Fed Funds Rate","FYFF",0.151499375437767,1,0.31762115332977,3.53725701991843e-30,0.31762115332977
"Industrial Production","IP",0.0926819318745422,0.746487232721517,0.252292368598311,0.25501284282451,0.507305211422821
"CPI","PUNEW",0.0824345336601256,0.862897180573471,0.318377569953336,0.137914078713076,0.456291648666412
"3m Treasury Bills","FYGM3",0.130757095860933,0.975033648536636,0.295186275397377,0.0251140813536801,0.320300356751057
"5y Treasury Bonds","FYGT5",0.09438338503272,0.932741618863342,0.230699950660109,0.0676563597232657,0.298356310383375
"Monetary Base","FMFBA",0.00174928507418727,0.104965244852114,0.0282504109825264,0.900330818787814,0.92858122977034
"M2","FM2",0.00167517418616964,0.0523030277388765,0.0136158531394371,0.953304646653203,0.96692049979264
"Exchange Rate Yen","EXRJAN",0.00150915274260389,0.0244990477314172,0.00907743414812434,0.981273147252421,0.990350581400546
"Commodity Price Index","PMCP",0.0839927580342122,0.640107887586247,0.227083784238263,0.362021651540461,0.589105435778724
"Capacity Util Rate","IPXMCA",0.102655941495534,0.749261829037938,0.205356608451119,0.252221828778405,0.457578437229524
"Personal Consumption","GMCQ",0.00585510050190127,0.109781075998468,0.0390085560293941,0.895486491599173,0.934495047628568
"Durable Cons","GMCDQ",0.00397290768316116,0.0632399444883603,0.0217194659104783,0.942303014419994,0.964022480330472
"Nondurable Cons","GMCNQ",0.00281118652217635,0.0628905169020704,0.0221391236047259,0.942654509625135,0.964793633229861
"Unemployment","LHUR",0.076605967275896,0.819250708954959,0.187634755150931,0.18181881347726,0.369453568628191
"Employment","PMEMP",0.103938407303222,0.724192887832326,0.22868209190499,0.277439106914229,0.506121198819219
"Avg Hourly Earnings","LEHM",0.00965734398853512,0.212318322566919,0.0746693771121918,0.792342515761086,0.867011892873278
"Housing Starts","HSFR",0.0403788556454434,0.403666494130329,0.137216289751275,0.599862106496118,0.737078396247392
"New Orders","PMNO",0.0874801523568894,0.652304619685963,0.221642046744272,0.349752749428321,0.571394796172593
"Dividends","FSDXP",0.0211873996515007,0.554966640303499,0.162528569153184,0.44766669318583,0.610195262339015
"Consumer Expectations","HHSNTN",0.0377758873810302,0.711577739064574,0.228785243298311,0.290128901532677,0.518914144830988
