"system_size","lambda","horizon","variable","rmse"
3,0.2,1,"INDPRO",2.4345094343155
3,0.2,1,"CPIAUCSL",1.05055576483102
3,0.2,1,"FEDFUNDS",0.920585827043521
3,0.2,6,"INDPRO",0.900859002166925
3,0.2,6,"CPIAUCSL",1.04336033014424
3,0.2,6,"FEDFUNDS",1.06309756971156
3,0.2,12,"INDPRO",0.696439537037481
3,0.2,12,"CPIAUCSL",1.03386070902511
3,0.2,12,"FEDFUNDS",1.07381561775849
10,0.1,1,"INDPRO",2.47271526002408
10,0.1,1,"CPIAUCSL",1.08203100372632
10,0.1,1,"FEDFUNDS",0.916003721245895
10,0.1,6,"INDPRO",0.875879143197797
10,0.1,6,"CPIAUCSL",1.04533721962157
10,0.1,6,"FEDFUNDS",1.07056779840986
10,0.1,12,"INDPRO",0.688109211233356
10,0.1,12,"CPIAUCSL",1.03405176425276
10,0.1,12,"FEDFUNDS",1.07767399703873
20,0.05,1,"INDPRO",2.41955352960859
20,0.05,1,"CPIAUCSL",1.1740074970479
20,0.05,1,"FEDFUNDS",0.883693080008011
20,0.05,6,"INDPRO",0.865549396685297
20,0.05,6,"CPIAUCSL",1.04627251716363
20,0.05,6,"FEDFUNDS",1.06212902037044
20,0.05,12,"INDPRO",0.686643005871196
20,0.05,12,"CPIAUCSL",1.0338183596278
20,0.05,12,"FEDFUNDS",1.07843410038206
50,0.02,1,"INDPRO",2.57103965282009
50,0.02,1,"CPIAUCSL",1.40588047437139
50,0.02,1,"FEDFUNDS",0.845496753145805
50,0.02,6,"INDPRO",0.989677317812787
50,0.02,6,"CPIAUCSL",1.10686787863636
50,0.02,6,"FEDFUNDS",1.18586363568514
50,0.02,12,"INDPRO",0.697978100385622
50,0.02,12,"CPIAUCSL",1.03000633180395
50,0.02,12,"FEDFUNDS",1.11713134428328
68,0.02,1,"INDPRO",2.56420883952178
68,0.02,1,"CPIAUCSL",1.40470159831618
68,0.02,1,"FEDFUNDS",0.872666438063173
68,0.02,6,"INDPRO",0.989512460379103
68,0.02,6,"CPIAUCSL",1.08984455780761
68,0.02,6,"FEDFUNDS",1.17895601839445
68,0.02,12,"INDPRO",0.699481145980852
68,0.02,12,"CPIAUCSL",1.02782851546868
68,0.02,12,"FEDFUNDS",1.10934642801728
