"factor","variance_share","cumulative_share"
1,0.208856910005513,0.208856910005513
2,0.0840124888507001,0.292869398856213
3,0.0760900475770217,0.368959446433235
4,0.0599093339155671,0.428868780348802
5,0.0376178810504824,0.466486661399285
6,0.0323792385498995,0.498865899949184
7,0.0294066362426574,0.528272536191841
8,0.0249939332527034,0.553266469444545
9,0.022546392249908,0.575812861694453
10,0.0206123405734658,0.596425202267919
11,0.0201042910479611,0.61652949331588
12,0.0186022510777408,0.63513174439362
13,0.0174290909961282,0.652560835389749
14,0.0172698210034965,0.669830656393245
15,0.0168159350983798,0.686646591491625
16,0.0138845082060216,0.700531099697647
17,0.0137706596616766,0.714301759359323
18,0.0122710434151742,0.726572802774497
19,0.0121339690461745,0.738706771820672
20,0.0117677697033027,0.750474541523975
