"horizon","factor1","factor2","factor3","fedfunds"
0,0,0,0,0.15109934935373
1,-0.541659887553984,-0.117569208148399,-0.0255848296835589,0.20940874725336
2,-0.344872469464282,-0.272210238080102,0.00667637769388203,0.249548722473763
3,-0.131238627408877,-0.22723013572659,0.0748320149857948,0.283516945444098
4,-0.0916967874713196,-0.106945286488506,0.115595231954045,0.304883245317974
5,-0.0774096526751274,-0.0806525626480287,0.120912559006387,0.319232695527569
6,-0.0559671795761392,-0.0728484347286531,0.126354113874423,0.328926764350728
7,-0.0385534861089494,-0.0555458986500545,0.136011846729466,0.334518748505618
8,-0.0252951528014025,-0.0409275523360885,0.142120158841405,0.336969238915408
9,-0.0149313784494675,-0.0320917756085872,0.144187495637355,0.337194164138268
10,-0.00708812639618168,-0.0252994628980919,0.14490059241407,0.335776240517309
11,-0.00128938401269799,-0.0195158348114971,0.144912646400693,0.333125301124941
12,0.00299213830958374,-0.0150796508305702,0.14401637238815,0.329570210581102
13,0.00620375343293642,-0.0117773449299285,0.14239419925852,0.32536449953664
14,0.0086301162857808,-0.0091899463585505,0.140344931473413,0.320694985342525
15,0.0104417163906754,-0.00712053627358156,0.138005433134839,0.315701227248283
16,0.011777705609316,-0.0054810095268597,0.135441671146212,0.310489282137044
17,0.0127574429384637,-0.00417525460299459,0.132725664059905,0.305139118593683
18,0.0134693573011635,-0.0031169169728815,0.1299197803623,0.299710467185943
19,0.0139771293942726,-0.00224808747477503,0.12706494982481,0.294247971996586
20,0.0143294795276745,-0.00152777410584215,0.124189788203621,0.288785009920491
21,0.0145639469974131,-0.000922915647738443,0.121316914121256,0.283346398699946
22,0.0147087474270581,-0.00040781102970619,0.118463375934444,0.277950465720908
23,0.0147850945118828,3.65472276143142e-05,0.115641268798475,0.272610653286879
24,0.0148091273923712,0.000424498559845943,0.112859240900317,0.267336724231729
25,0.0147931258013142,0.000767116163010506,0.110123517518189,0.262135662896289
26,0.0147463966854013,0.00107289404707053,0.107438426044101,0.257012358097848
27,0.0146760061268764,0.00134831304078062,0.104806830642361,0.251970121469028
28,0.0145873385404808,0.00159835855074575,0.102230519665573,0.247011078413616
29,0.0144845039543269,0.00182689693782284,0.0997104863541385,0.242136462925164
30,0.0143706447531654,0.00203693849995237,0.0972471266566688,0.237346840498917
31,0.014248171198961,0.00223084075675711,0.0948403919361144,0.232642276655341
32,0.0141189395391615,0.00241046721187679,0.0924899074455104,0.228022464190637
33,0.0139843857323538,0.00257730608489734,0.0901950606624044,0.223486819262456
34,0.0138456265540771,0.0027325589077079,0.0879550670622221,0.219034553969994
35,0.0137035362598233,0.00287720791249241,0.0857690198917311,0.21466473116597
36,0.0135588045447792,0.00301206730378334,0.0836359277656794,0.210376305832247
